song_title,artist,release,track_uri,spotify_id,duration,explicit,popularity,is_popular,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
真っ白なものは汚したくなる (Complete Edition),Keyakizaka46,7/19/2017,6vqGGV7ZGWYFRg5EtlcuN5,6vqGGV7ZGWYFRg5EtlcuN5,265826,FALSE,57,1,album,0.583,0.952,1,-2.491,1,0.0797,0.261,0,0.314,0.81,123.015,4
弐,Yuuri,3/29/2023,1gbs1Rra4EbSIWPZJFwBkI,1gbs1Rra4EbSIWPZJFwBkI,238800,FALSE,57,1,album,0.584,0.576,0,-6.215,1,0.0797,0.334,0,0.172,0.714,76.726,4
Sympa,King Gnu,1/16/2019,4P7JctttE0UvemJYpib33Z,4P7JctttE0UvemJYpib33Z,220893,FALSE,57,1,album,0.526,0.945,5,-3.638,1,0.152,0.00359,0,0.321,0.389,149.951,4
TROPICAL NIGHT (Special Edition),JO1,4/5/2023,5wVtwFrInVV75Evrr9fcWY,5wVtwFrInVV75Evrr9fcWY,184933,FALSE,58,0,album,0.762,0.795,7,-2.567,0,0.0908,0.0133,0,0.0708,0.767,106.012,4
斉藤,Kazuyoshi Saito,10/23/2013,4XkqVSWIPb07iLEDvAPq93,4XkqVSWIPb07iLEDvAPq93,316106,FALSE,56,1,album,0.496,0.915,1,-3.533,1,0.0371,0.00877,0.00189,0.108,0.446,132.017,4
STAR BOX EXTRA PRINCESS PRINCESS,PRINCESS PRINCESS,2001,5lyfW4Q2rDarzlpnh09BYW,5lyfW4Q2rDarzlpnh09BYW,225493,FALSE,57,1,album,0.674,0.91,9,-6.282,1,0.0705,0.103,0.000492,0.108,0.411,147.947,4
COMINATCHA!!,WANIMA,10/23/2019,1TdYXsTtYbud0IieSW5wbh,1TdYXsTtYbud0IieSW5wbh,214088,FALSE,56,1,album,0.486,0.949,7,-2.397,1,0.0565,0.000272,0,0.188,0.358,97.268,4
musiQ,ORANGE RANGE,12/1/2004,3JQAPaMYUAf6jXNe2xkscR,3JQAPaMYUAf6jXNe2xkscR,196866,FALSE,56,1,album,0.682,0.895,11,-3.173,1,0.0973,0.026,0,0.108,0.821,140.005,4
スペースシャトルで君の家まで,neguse.,10/13/2021,19QF8XwEEZ4RPbUEdYl5RD,19QF8XwEEZ4RPbUEdYl5RD,247321,FALSE,57,1,single,0.687,0.646,9,-5.732,1,0.03,0.238,0,0.0652,0.814,96.089,4
Starting Over,sumika,6/7/2023,3ZG9cL4Rk4Q3Y4WUU1DjP7,3ZG9cL4Rk4Q3Y4WUU1DjP7,190306,FALSE,30,1,single,0.514,0.927,2,-6.889,1,0.0322,5.58E-05,0.881,0.049,0.798,107.017,4
Hero,Namie Amuro,7/27/2016,4TAf9JushLbVY9Kj3MAqWw,4TAf9JushLbVY9Kj3MAqWw,337813,FALSE,57,1,single,0.352,0.809,8,-3.177,1,0.0678,0.178,0.000679,0.0844,0.275,124.939,4
